Warna,Ukuran Partikel,Density,Bentuk Partikel,Grade
1,12,340,1,1
2,12,350,1,2
2,14,350,3,1
1,12,280,3,1
2,14,440,2,1
1,18,320,1,1
1,24,270,4,1
2,14,270,1,2
2,18,400,2,2
3,18,340,3,2
3,24,290,4,2
2,24,240,4,2
2,60,240,4,2
2,30,295,1,2
3,18,430,2,3
3,30,370,2,3
3,18,370,1,2
1,10,340,1,1
2,12,350,1,2
2,16,360,3,1
1,14,285,3,1
2,14,470,2,1
1,18,310,1,1
1,30,270,4,1
2,14,270,1,2
2,18,400,2,2
3,18,320,3,2
3,24,285,4,2
2,30,230,4,2
2,60,241,4,2
2,24,293,1,2
3,18,436,2,3
3,30,373,2,3
3,30,370,1,2
1,16,340,1,1
2,14,360,1,2
2,12,370,3,1
1,12,285,3,1
2,14,440,2,1
1,18,320,1,1
1,30,270,4,1
2,14,255,1,2
2,16,405,2,2
3,18,330,3,2
3,30,300,4,2
2,24,230,4,2
2,24,215,4,2
2,24,290,1,2
3,18,435,2,3
3,30,375,2,3
3,18,360,1,2
1,12,340,1,1
2,16,360,1,2
2,14,360,3,1
1,14,280,3,1
2,18,460,2,1
1,18,315,1,1
1,30,260,4,1
2,12,265,1,2
2,18,390,2,2
3,18,345,3,2
3,30,290,4,2
2,24,230,4,2
2,30,215,4,2
2,24,292,1,2
3,18,438,2,3
3,30,385,2,3
3,30,350,1,2
1,14,340,1,1
2,14,350,1,2
2,12,360,3,1
1,14,280,3,1
2,14,460,2,1
1,18,310,1,1
1,60,290,4,1
2,12,270,1,2
2,18,400,2,2
3,18,340,3,2
3,30,290,4,2
2,24,230,4,2
2,30,230,4,2
2,30,293,1,2
3,18,460,2,3
3,30,380,2,3
3,24,355,1,2
1,16,340,1,1
2,10,360,1,2
2,10,370,3,1
1,14,285,3,1
2,16,440,2,1
1,18,320,1,1
1,30,270,4,1
2,14,255,1,2
2,18,405,2,2
3,18,330,3,2
3,30,300,4,2
2,30,230,4,2
2,24,200,4,2
2,18,294,1,2
3,18,450,2,3
3,30,380,2,3
3,24,360,1,2
1,14,340,1,1
2,10,360,1,2
2,10,360,3,1
1,12,280,3,1
2,16,460,2,1
1,18,315,1,1
1,30,260,4,1
2,12,265,1,2
2,16,390,2,2
3,18,345,3,2
3,24,290,4,2
2,24,230,4,2
2,60,201,4,2
2,24,200,1,2
3,18,482,2,3
3,30,360,2,3
3,30,350,1,2
1,16,340,1,1
2,12,350,1,2
2,16,360,3,1
1,14,280,3,1
2,18,460,2,1
1,18,310,1,1
1,24,290,4,1
2,12,270,1,2
2,18,400,2,2
3,18,340,3,2
3,30,290,4,2
2,30,230,4,2
2,30,208,4,2
2,24,291,1,2
3,18,400,2,3
3,30,378,2,3
3,30,340,1,2
1,14,350,1,1
2,10,350,1,2
2,16,340,3,1
1,14,280,3,1
2,14,440,2,1
1,18,320,1,1
1,60,270,4,1
2,12,260,1,2
2,14,400,2,2
3,18,355,3,2
3,30,300,4,2
2,60,235,4,2
2,24,190,4,2
2,24,290,1,2
3,18,450,2,3
3,30,378,2,3
3,18,330,1,2
1,14,350,1,1
2,16,350,1,2
2,12,350,3,1
1,14,285,3,1
2,16,445,2,1
1,18,320,1,1
1,30,250,4,1
2,14,255,1,2
2,14,375,2,2
3,18,360,3,2
3,60,290,4,2
2,24,225,4,2
2,30,204,4,2
2,30,294,1,2
3,18,432,2,3
3,30,380,2,3
3,24,345,1,2
1,14,360,1,1
2,10,350,1,2
2,16,350,3,1
1,12,280,3,1
2,16,440,2,1
1,18,310,1,1
1,30,270,4,1
2,14,260,1,2
2,18,400,2,2
3,18,330,3,2
3,24,290,4,2
2,60,235,4,2
2,30,205,4,2
2,30,290,1,2
3,18,440,2,3
3,30,371,2,3
3,24,340,1,2
1,14,355,1,1
2,12,355,1,2
2,10,350,3,1
1,12,280,3,1
2,14,435,2,1
1,18,300,1,1
1,60,255,4,1
2,14,265,1,2
2,16,380,2,2
3,18,335,3,2
3,60,285,4,2
2,60,230,4,2
2,24,325,4,2
2,30,285,1,2
3,18,430,2,3
3,30,373,2,3
3,24,325,1,2
1,12,360,1,1
2,16,350,1,2
2,14,360,3,1
1,12,260,3,1
2,16,440,2,1
1,18,325,1,1
1,30,260,4,1
2,14,260,1,2
2,18,400,2,2
3,18,350,3,2
3,30,290,4,2
2,60,225,4,2
2,60,210,4,2
2,30,295,1,2
3,18,430,2,3
3,30,370,2,3
3,18,365,1,2
1,10,350,1,1
2,14,350,1,2
2,12,345,3,1
1,12,270,3,1
2,18,440,2,1
1,18,300,1,1
1,60,270,4,1
2,14,260,1,2
2,14,285,2,2
3,18,335,3,2
3,60,270,4,2
2,24,230,4,2
2,30,211,4,2
2,24,294,1,2
3,18,440,2,3
3,30,390,2,3
3,18,320,1,2
1,16,355,1,1
2,10,350,1,2
2,12,350,3,1
1,12,255,3,1
2,14,440,2,1
1,18,300,1,1
1,60,275,4,1
2,12,250,1,2
2,16,390,2,2
3,18,335,3,2
3,24,290,4,2
2,60,235,4,2
2,24,209,4,2
2,18,295,1,2
3,18,430,2,3
3,30,370,2,3
3,30,320,1,2
1,12,350,1,1
2,14,360,1,2
2,10,340,3,1
1,14,280,3,1
2,14,440,2,1
1,18,300,1,1
1,60,270,4,1
2,12,260,1,2
2,16,385,2,2
3,18,340,3,2
3,30,290,4,2
2,60,230,4,2
2,24,208,4,2
2,24,293,1,2
3,18,431,2,3
3,30,373,2,3
3,30,360,1,2
1,14,360,1,1
2,16,360,1,2
2,14,350,3,1
1,14,280,3,1
2,18,440,2,1
1,18,300,1,1
1,60,275,4,1
2,14,270,1,2
2,14,390,2,2
3,18,335,3,2
3,30,285,4,2
2,60,230,4,2
2,24,215,4,2
2,18,295,1,2
3,18,430,2,3
3,30,395,2,3
3,24,330,1,2
1,12,360,1,1
2,10,370,1,2
2,10,355,3,1
1,12,280,3,1
2,16,450,2,1
1,18,315,1,1
1,30,265,4,1
2,12,265,1,2
2,16,390,2,2
3,18,330,3,2
3,24,270,4,2
2,60,235,4,2
2,30,206,4,2
2,24,291,1,2
3,18,430,2,3
3,30,380,2,3
3,30,255,1,2
1,16,365,1,1
2,14,365,1,2
2,14,355,3,1
1,12,285,3,1
2,18,455,2,1
1,18,330,1,1
1,24,270,4,1
2,12,265,1,2
2,14,385,2,2
3,18,335,3,2
3,30,295,4,2
2,60,225,4,2
2,24,210,4,2
2,18,294,1,2
3,18,434,2,3
3,30,375,2,3
3,24,355,1,2
1,12,355,1,1
2,14,365,1,2
2,16,350,3,1
1,14,280,3,1
2,18,445,2,1
1,18,325,1,1
1,60,275,4,1
2,12,270,1,2
2,18,385,2,2
3,18,360,3,2
3,30,285,4,2
2,60,240,4,2
2,60,210,4,2
2,24,295,1,2
3,18,460,2,3
3,30,379,2,3
3,30,350,1,2
1,10,360,1,1
2,12,365,1,2
2,14,350,3,1
1,14,290,3,1
2,16,450,2,1
1,18,320,1,1
1,30,280,4,1
2,12,275,1,2
2,14,390,2,2
3,18,340,3,2
3,60,290,4,2
2,24,240,4,2
2,30,250,4,2
2,18,295,1,2
3,18,435,2,3
3,30,375,2,3
3,24,355,1,2
1,10,365,1,1
2,14,360,1,2
2,12,350,3,1
1,14,290,3,1
2,18,450,2,1
1,18,320,1,1
1,60,285,4,1
2,12,275,1,2
2,16,390,2,2
3,18,350,3,2
3,24,290,4,2
2,30,240,4,2
2,60,225,4,2
2,24,294,1,2
3,18,430,2,3
3,30,373,2,3
3,30,355,1,2
1,16,360,1,1
2,10,355,1,2
2,14,350,3,1
1,14,280,3,1
2,18,455,2,1
1,18,320,1,1
1,60,285,4,1
2,12,265,1,2
2,14,385,2,2
3,18,345,3,2
3,24,285,4,2
2,24,240,4,2
2,30,218,4,2
2,30,292,1,2
3,18,480,2,3
3,30,380,2,3
3,24,360,1,2
1,14,360,1,1
2,12,360,1,2
2,16,355,3,1
1,14,290,3,1
2,14,460,2,1
1,18,325,1,1
1,60,285,4,1
2,12,275,1,2
2,16,380,2,2
3,18,340,3,2
3,60,285,4,2
2,24,240,4,2
2,30,210,4,2
2,18,295,1,2
3,18,430,2,3
3,30,370,2,3
3,30,365,1,2
1,10,365,1,1
2,12,355,1,2
2,14,350,3,1
1,14,280,3,1
2,16,465,2,1
1,18,320,1,1
1,24,285,4,1
2,12,270,1,2
2,16,400,2,2
3,18,350,3,2
3,60,280,4,2
2,30,230,4,2
2,24,200,4,2
2,18,290,1,2
3,18,439,2,3
3,30,380,2,3
3,24,360,1,2
1,14,360,1,1
2,12,355,1,2
2,16,350,3,1
1,12,285,3,1
2,18,430,2,1
1,18,310,1,1
1,30,255,4,1
2,12,270,1,2
2,16,380,2,2
3,18,340,3,2
3,24,295,4,2
2,60,340,4,2
2,30,300,4,2
2,30,298,1,2
3,18,430,2,3
3,30,370,2,3
3,30,360,1,2
1,10,365,1,1
2,10,355,1,2
2,14,340,3,1
1,14,315,3,1
2,14,440,2,1
1,18,320,1,1
1,24,260,4,1
2,12,295,1,2
2,18,400,2,2
3,18,350,3,2
3,30,290,4,2
2,60,230,4,2
2,30,216,4,2
2,24,295,1,2
3,18,439,2,3
3,30,375,2,3
3,24,340,1,2
1,12,380,1,1
2,14,380,1,2
2,12,360,3,1
1,14,300,3,1
2,16,460,2,1
1,18,320,1,1
1,24,270,4,1
2,14,275,1,2
2,14,420,2,2
3,18,350,3,2
3,24,280,4,2
2,60,230,4,2
2,60,210,4,2
2,30,295,1,2
3,18,430,2,3
3,30,370,2,3
3,24,340,1,2
